Query	MUrl	PUrl	Fidelity_Control	Fidelity_Treatment	InL1WithoutSpaceV	Experiment_InL1WithoutSpaceV
happiness in death book by camus	https://m.media-amazon.com/images/I/71Gj9g9UbtL._SY466_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/0679764003	0.32	0.72	False	True
happiness in death book by camus	https://boredabsurdist.com/wp-content/uploads/2024/06/albert-camus-a-happy-death-book-review.jpg?w=809	https://boredabsurdist.com/2024/06/26/sisyphus-brings-happiness-to-the-working-class-man-notes-and-quotes-from-a-happy-death-by-albert-camus/	0.32	0.72	True	True
happiness in death book by camus	https://m.media-amazon.com/images/I/514lvQieaaL.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/0679764003	0.32	0.72	False	True
happiness in death book by camus	https://boredabsurdist.com/wp-content/uploads/2024/06/albert-camus-a-happy-death-absurdism.jpg	https://boredabsurdist.com/2024/06/26/sisyphus-brings-happiness-to-the-working-class-man-notes-and-quotes-from-a-happy-death-by-albert-camus/	0.32	0.72	True	True
happiness in death book by camus	https://m.media-amazon.com/images/I/91S-8WX+enL._SX679_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/B000I1T3WC	0.32	0.72	False	True
happiness in death book by camus	https://m.media-amazon.com/images/I/91S-8WX+enL._SX606_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/B000I1T3WC	0.32	0.72	False	True
happiness in death book by camus	https://m.media-amazon.com/images/I/61PXVuyU60L._SL1500_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/0679764003	0.32	0.72	True	True
happiness in death book by camus	https://m.media-amazon.com/images/I/817WpaJ+N9L._SL1500_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/1664748474	0.32	0.72	False	True
happiness in death book by camus	https://m.media-amazon.com/images/I/817WpaJ+N9L.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/1664748474	0.32	0.72	False	True
ilustrasi khotbah tentang penyertaan roh kudus	https://cdn.slidesharecdn.com/ss_thumbnails/mulaidenganrohkudus-150525163029-lva1-app6892-thumbnail.jpg?width=640&height=640&fit=bounds	https://www.slideshare.net/slideshow/mulai-dengan-roh-kudus/48573094	0.5	1	False	True
ilustrasi khotbah tentang penyertaan roh kudus	https://cdn.kibrispdr.org/data/1107/kumpulan-khotbah-tentang-roh-kudus-3.jpg	https://www.kibrispdr.org/kumpulan-khotbah-tentang-roh-kudus.html	0.5	1	True	True
ilustrasi khotbah tentang penyertaan roh kudus	https://image.slidesharecdn.com/mulaidenganrohkudus-150525163029-lva1-app6892/75/Mulai-dengan-roh-kudus-1-2048.jpg	https://www.slideshare.net/slideshow/mulai-dengan-roh-kudus/48573094	0.5	1	False	True
ilustrasi khotbah tentang penyertaan roh kudus	https://image.slidesharecdn.com/rohkudus-120409211335-phpapp01/85/Roh-kudus-20-320.jpg	https://www.slideshare.net/slideshow/roh-kudus/12331648	0.5	1	True	True
mall merupakan	https://niagatour.com/wp-content/uploads/2024/01/Mall-Terbesar-di-Jogja-Jogja-City-Mall-768x549.jpg	https://niagatour.com/mall-terbesar-di-jogja/	0.0416666679	0.458333343	False	True
mall merupakan	https://salsawisata.com/wp-content/uploads/2022/11/Plaza-Surabaya.jpg	https://salsawisata.com/mall-di-surabaya/	0.0416666679	0.458333343	False	True
mall merupakan	https://niagatour.com/wp-content/uploads/2024/01/Mall-Terbesar-di-Jogja-Jogja-City-Mall-800x571.jpg	https://niagatour.com/mall-terbesar-di-jogja/	0.0416666679	0.458333343	False	True
mall merupakan	https://lh7-rt.googleusercontent.com/docsz/AD_4nXdIZUn7QAzSLLJE5TcL5plo5a5NV1SNau4DpPF7IrSacufn8bfgwv9hwMlqf5LTkCNgSPN1ej2wRsOu8TZrW1JMUDNtSDbAO-mp6uTLGD66RPcxAUhtIK6jBYxZaDsmSW5C-vJLqlDJOrwl24Lm2g?key=QZRT-1YmO7l4B132K00Wnn2G	https://www.inilah.com/mall-terbesar-di-indonesia	0.0416666679	0.458333343	False	True
mall merupakan	https://storage.googleapis.com/seo-cms/assets/large_royal_plaza_d4f35a2aac/large_royal_plaza_d4f35a2aac.jpg	https://www.rumah123.com/explore/kota-surabaya/mall-surabaya/	0.0416666679	0.458333343	False	True
mall merupakan	https://niagatour.com/wp-content/uploads/2024/01/Mall-Terbesar-di-Jogja-Jogja-City-Mall-600x429.jpg	https://niagatour.com/mall-terbesar-di-jogja/	0.0416666679	0.458333343	False	True
mall merupakan	https://lh7-rt.googleusercontent.com/docsz/AD_4nXeYau9i6eeCR_JHgniKB6r-BvyLA2SGNhFmI6_-Vgicf-birtY-A3pDohHxgP7qG_PZPySrLuc32dRB_6smGgH-Nozyur9fJ3GRTbvhvMhowHL_1h2aJnn60YB25fvAVJlPbqNJ5YBo91P5-7-hcg?key=QZRT-1YmO7l4B132K00Wnn2G	https://www.inilah.com/mall-terbesar-di-indonesia	0.0416666679	0.458333343	True	True
mall merupakan	https://niagatour.com/wp-content/smush-webp/2024/01/Mall-Terbesar-di-Jogja-Jogja-City-Mall.jpg.webp	https://niagatour.com/mall-terbesar-di-jogja/	0.0416666679	0.458333343	False	True
mall merupakan	https://niagatour.com/wp-content/uploads/2024/01/Mall-Terbesar-di-Jogja-Jogja-City-Mall.jpg	https://niagatour.com/mall-terbesar-di-jogja/	0.0416666679	0.458333343	False	True
mall merupakan	https://salsawisata.com/wp-content/uploads/2022/11/Plaza-Surabaya-600x450.jpg	https://salsawisata.com/mall-di-surabaya/	0.0416666679	0.458333343	False	True
mall merupakan	https://storage.googleapis.com/seo-cms/assets/royal_plaza_d4f35a2aac/royal_plaza_d4f35a2aac.jpg	https://www.rumah123.com/explore/kota-surabaya/mall-surabaya/	0.0416666679	0.458333343	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_ab2ae02cb4.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_ab2ae02cb4.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://ostsachsen.de/wp-content/uploads/Verkehrsmuseum-Dresden-768x432.jpg	https://ostsachsen.de/dresden/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/e/9/csm_Kinder-Museum_Neu_Oliver_Killig_09_a6bc1d6b21.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/e/9/csm_Kinder-Museum_Neu_Oliver_Killig_09_1152fe725f.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/e/9/csm_Kinder-Museum_Neu_Oliver_Killig_09_bf07faee46.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/e/9/csm_Kinder-Museum_Neu_Oliver_Killig_09_5605a7d746.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://ostsachsen.de/wp-content/uploads/Verkehrsmuseum-Dresden-1024x576.jpg	https://ostsachsen.de/dresden/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_799b8a5c69.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_799b8a5c69.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/8/f/csm_Kindermuseum_Dresden-53_6c2d6a6599.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_b8a962ac5a.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_b8a962ac5a.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_ae4abc0b50.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_ae4abc0b50.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_518860b57c.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_518860b57c.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_9bad7f6535.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_9bad7f6535.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_fefb2db712.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_fefb2db712.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_1fb9f1b735.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_1fb9f1b735.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_1951b5c702.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_1951b5c702.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_7560b6272b.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_7560b6272b.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/e/9/csm_Kinder-Museum_Neu_Oliver_Killig_09_e9f2bf9fd2.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/8/f/csm_Kindermuseum_Dresden-53_e8724e2a9f.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_c8661cfcba.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_c8661cfcba.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/e/9/csm_Kinder-Museum_Neu_Oliver_Killig_09_5c785ffce2.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_dfd7b49269.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_dfd7b49269.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/3/3/csm_image001_a37660f1ef.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_9ee4e56347.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_9ee4e56347.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.ostsachsen.de/wp-content/uploads/Verkehrsmuseum-Dresden-1180x664.jpg	https://www.ostsachsen.de/dresden/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://ostsachsen.de/wp-content/uploads/Verkehrsmuseum-Dresden-1180x664.jpg	https://ostsachsen.de/dresden/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_8eb1494a96.jpg	https://www.dhmd.de/ausstellungen/kinder-museum	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_8eb1494a96.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_8eb1494a96.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/3/3/csm_image001_548cd6daef.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/3/3/csm_image001_33bf852ba2.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_fc6ecf634e.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/2/a/csm_image004_fc6ecf634e.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_a51d81be04.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/d/d/csm_Kindermuseum_Dresden-49_a51d81be04.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_fc731f228c.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/7/9/csm_image006_fc731f228c.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://ostsachsen.de/wp-content/uploads/Verkehrsmuseum-Dresden-300x169.jpg	https://ostsachsen.de/dresden/kinder-museum/	0.243589744	0.717948735	True	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/8/f/csm_Kindermuseum_Dresden-53_24f7138a50.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
museum dresden für kinder	https://www.dhmd.de/fileadmin/_processed_/8/f/csm_Kindermuseum_Dresden-53_9d22da360b.jpg	https://www.dhmd.de/ausstellungen/kinder-museum/	0.243589744	0.717948735	False	True
